outward_voyage_id,counts,voydepartureY
91730,336.0,1643.0
91731,399.0,1643.0
91732,103.0,1644.0
91733,230.0,1644.0
91734,230.0,1644.0
91735,230.0,1644.0
91736,230.0,1644.0
91737,104.0,1644.0
91738,230.0,1644.0
91739,230.0,1644.0
91740,230.0,1644.0
91741,230.0,1644.0
91742,230.0,1644.0
91743,230.0,1644.0
91744,230.0,1644.0
91745,230.0,1644.0
91746,230.0,1644.0
91747,230.0,1644.0
91748,230.0,1644.0
91749,230.0,1644.0
91750,230.0,1644.0
91751,110.0,1644.0
91752,350.0,1645.0
91753,230.0,1645.0
91754,230.0,1645.0
91755,350.0,1645.0
91756,230.0,1645.0
91757,230.0,1645.0
91758,230.0,1645.0
91759,230.0,1645.0
91762,230.0,1645.0
91763,230.0,1645.0
91764,230.0,1645.0
91765,230.0,1645.0
91766,230.0,1645.0
91760,230.0,1645.0
91761,230.0,1645.0
91767,230.0,1645.0
91768,230.0,1645.0
91769,230.0,1646.0
91770,230.0,1646.0
91771,230.0,1646.0
91772,230.0,1646.0
91773,230.0,1646.0
91774,230.0,1646.0
91775,321.0,1646.0
91776,230.0,1646.0
91777,230.0,1646.0
91778,230.0,1646.0
91779,230.0,1646.0
91780,230.0,1646.0
91781,230.0,1646.0
91782,230.0,1646.0
91783,230.0,1646.0
91784,230.0,1646.0
91785,230.0,1646.0
91786,230.0,1646.0
91787,230.0,1646.0
91788,230.0,1646.0
91789,300.0,1647.0
91790,350.0,1647.0
91791,230.0,1647.0
91792,230.0,1647.0
91793,200.0,1647.0
91794,125.0,1647.0
91795,230.0,1647.0
91796,230.0,1647.0
91797,230.0,1647.0
91798,230.0,1647.0
91799,49.0,1647.0
91800,368.0,1647.0
91801,230.0,1648.0
91802,230.0,1648.0
91803,230.0,1648.0
91804,216.0,1648.0
91805,102.0,1648.0
91806,230.0,1648.0
91807,230.0,1648.0
91808,230.0,1648.0
91809,230.0,1648.0
91810,230.0,1648.0
91811,65.0,1648.0
91812,230.0,1648.0
91813,230.0,1648.0
91814,230.0,1648.0
91815,230.0,1649.0
91816,230.0,1649.0
91817,230.0,1649.0
91818,230.0,1649.0
91819,230.0,1649.0
91821,230.0,1649.0
91822,230.0,1649.0
91823,230.0,1649.0
91824,230.0,1649.0
91825,230.0,1649.0
91826,230.0,1649.0
91827,230.0,1649.0
91828,230.0,1649.0
91829,300.0,1649.0
91830,250.0,1649.0
91831,230.0,1649.0
91832,230.0,1649.0
91833,230.0,1650.0
91834,230.0,1650.0
91835,325.0,1650.0
91836,230.0,1650.0
91837,230.0,1650.0
91838,230.0,1650.0
91839,230.0,1650.0
91840,230.0,1650.0
91841,230.0,1650.0
91842,230.0,1650.0
91843,230.0,1650.0
91844,230.0,1651.0
91845,230.0,1651.0
91846,300.0,1651.0
91847,230.0,1651.0
91848,230.0,1651.0
91849,230.0,1651.0
91850,230.0,1651.0
91851,230.0,1651.0
91852,230.0,1651.0
91853,230.0,1651.0
91854,230.0,1651.0
91855,230.0,1651.0
91856,230.0,1651.0
91857,230.0,1651.0
91858,230.0,1651.0
91859,230.0,1652.0
91860,230.0,1652.0
91861,230.0,1652.0
91862,230.0,1652.0
91863,230.0,1652.0
91864,230.0,1652.0
91865,230.0,1652.0
91866,230.0,1652.0
91867,230.0,1652.0
91868,230.0,1652.0
91869,230.0,1652.0
91870,230.0,1652.0
91871,230.0,1652.0
91872,230.0,1652.0
91873,230.0,1652.0
91874,230.0,1652.0
91875,58.0,1652.0
91876,230.0,1652.0
91877,206.0,1652.0
91878,230.0,1652.0
91879,230.0,1652.0
91880,170.0,1652.0
91882,93.0,1653.0
91883,230.0,1653.0
91884,134.0,1653.0
91885,137.0,1653.0
91886,165.0,1653.0
91887,230.0,1653.0
91888,230.0,1653.0
91889,230.0,1653.0
91890,230.0,1653.0
91891,230.0,1653.0
91892,230.0,1653.0
91893,230.0,1653.0
91894,230.0,1653.0
91895,230.0,1653.0
91896,230.0,1653.0
91897,230.0,1653.0
91898,230.0,1653.0
91899,230.0,1653.0
91900,230.0,1653.0
91901,230.0,1653.0
91902,230.0,1653.0
91903,230.0,1654.0
91904,230.0,1654.0
91905,230.0,1654.0
91906,230.0,1654.0
91907,230.0,1654.0
91908,230.0,1654.0
91909,230.0,1654.0
91910,230.0,1654.0
91911,230.0,1654.0
91912,230.0,1654.0
91913,350.0,1654.0
91914,230.0,1654.0
91915,230.0,1654.0
91916,230.0,1654.0
91917,230.0,1654.0
91918,230.0,1654.0
91919,230.0,1654.0
91920,230.0,1654.0
91921,230.0,1654.0
91922,230.0,1654.0
91923,230.0,1654.0
91924,230.0,1654.0
91925,230.0,1654.0
91926,230.0,1654.0
91927,230.0,1654.0
91928,230.0,1654.0
91929,430.0,1654.0
91930,230.0,1654.0
91931,230.0,1654.0
91932,230.0,1654.0
91933,133.0,1654.0
91934,230.0,1654.0
91935,230.0,1654.0
91936,230.0,1654.0
91937,230.0,1655.0
91938,230.0,1655.0
91939,14.0,1655.0
91940,137.0,1655.0
91941,230.0,1655.0
91942,311.0,1655.0
91943,230.0,1655.0
91944,230.0,1655.0
91945,230.0,1655.0
91946,230.0,1655.0
91947,290.0,1655.0
91948,230.0,1655.0
91949,230.0,1655.0
91950,193.0,1655.0
91951,75.0,1655.0
91952,165.0,1655.0
91953,230.0,1655.0
91954,214.0,1655.0
91955,197.0,1655.0
91956,105.0,1655.0
91957,187.0,1655.0
91958,242.0,1655.0
91959,223.0,1655.0
91960,241.0,1655.0
91961,200.0,1655.0
91962,170.0,1656.0
91963,260.0,1656.0
91964,230.0,1656.0
91965,273.0,1656.0
91966,38.0,1656.0
91967,347.0,1656.0
