voyId,voydepartureY
91040,1610.0
91041,1610.0
91042,1610.0
91043,1610.0
91044,1610.0
91189,1610.0
91190,1610.0
91045,1610.0
91046,1610.0
91047,1610.0
91048,1611.0
91049,1611.0
91050,1611.0
91051,1611.0
91052,1611.0
91053,1611.0
91054,1611.0
91191,1611.0
91192,1611.0
91193,1611.0
91194,1611.0
91195,1611.0
91196,1611.0
91197,1612.0
91198,1612.0
91199,1612.0
91200,1612.0
91201,1612.0
91202,1613.0
91203,1613.0
91204,1613.0
91205,1613.0
91206,1613.0
91207,1613.0
91208,1613.0
91209,1613.0
91210,1613.0
91211,1613.0
91212,1613.0
91213,1613.0
91214,1614.0
91215,1614.0
91216,1614.0
91217,1614.0
91218,1614.0
91219,1614.0
91220,1614.0
91221,1614.0
91222,1614.0
91223,1614.0
91224,1614.0
91225,1614.0
91226,1614.0
91227,1614.0
91228,1614.0
91229,1615.0
91230,1615.0
91231,1615.0
91232,1615.0
91233,1615.0
91234,1615.0
91235,1615.0
91236,1616.0
91237,1616.0
91238,1616.0
91239,1616.0
91240,1616.0
91241,1616.0
91242,1616.0
91243,1616.0
91244,1617.0
91245,1617.0
91246,1617.0
91247,1617.0
91248,1617.0
91249,1617.0
91250,1617.0
91251,1617.0
91252,1617.0
91253,1617.0
91254,1617.0
91255,1617.0
91256,1618.0
91257,1618.0
91258,1618.0
91259,1618.0
91260,1618.0
91261,1618.0
91262,1618.0
91263,1618.0
91264,1618.0
91265,1618.0
91266,1618.0
91267,1618.0
91268,1619.0
91269,1619.0
91270,1619.0
91271,1619.0
91272,1619.0
91273,1619.0
91274,1619.0
91275,1619.0
91276,1619.0
91277,1619.0
91278,1619.0
91279,1619.0
91280,1619.0
91281,1619.0
91283,1619.0
91282,1619.0
91284,1619.0
91285,1620.0
91286,1620.0
91287,1620.0
91288,1620.0
91289,1620.0
91290,1620.0
91291,1620.0
91292,1620.0
91293,1620.0
91294,1620.0
91295,1620.0
91296,1620.0
91297,1620.0
91298,1620.0
91299,1620.0
91300,1620.0
91301,1620.0
91302,1620.0
91303,1620.0
91304,1620.0
91305,1620.0
91306,1620.0
91307,1620.0
91308,1621.0
91309,1621.0
91310,1621.0
91311,1621.0
91312,1621.0
91313,1621.0
91314,1621.0
91315,1621.0
91316,1621.0
91317,1621.0
91318,1621.0
91319,1621.0
91320,1621.0
91321,1621.0
91322,1621.0
91323,1621.0
91324,1621.0
91325,1621.0
91326,1622.0
91327,1622.0
91328,1622.0
91329,1623.0
91330,1623.0
91331,1623.0
91332,1623.0
91333,1623.0
91334,1623.0
91335,1623.0
91336,1623.0
91337,1623.0
91338,1623.0
91339,1623.0
91340,1623.0
91341,1623.0
91342,1623.0
91343,1623.0
91344,1623.0
91345,1623.0
91346,1623.0
91347,1624.0
91348,1624.0
91349,1624.0
91350,1624.0
91351,1624.0
91352,1625.0
91353,1625.0
91354,1625.0
91355,1625.0
91356,1625.0
91357,1625.0
91358,1625.0
91359,1625.0
91360,1625.0
91361,1625.0
91362,1625.0
91363,1626.0
91364,1626.0
91365,1626.0
91366,1626.0
91367,1626.0
91368,1626.0
91369,1626.0
91370,1626.0
91371,1626.0
91372,1626.0
91373,1626.0
91374,1626.0
91375,1626.0
91376,1626.0
91377,1627.0
91378,1627.0
91379,1627.0
91380,1627.0
91381,1627.0
91382,1627.0
91383,1627.0
91384,1627.0
91385,1627.0
91386,1627.0
91387,1627.0
91388,1627.0
91389,1627.0
91390,1627.0
91391,1627.0
91392,1627.0
91393,1627.0
91394,1627.0
91395,1627.0
91396,1627.0
91397,1627.0
91398,1627.0
91399,1628.0
91400,1628.0
91401,1628.0
91402,1628.0
91403,1628.0
91404,1628.0
91405,1628.0
91406,1628.0
91407,1628.0
91408,1628.0
91409,1628.0
91410,1628.0
91411,1628.0
91412,1629.0
91413,1629.0
91414,1629.0
91415,1629.0
91416,1629.0
91417,1629.0
91418,1629.0
91419,1629.0
91420,1629.0
91421,1629.0
91422,1629.0
91423,1629.0
91424,1629.0
91425,1629.0
91426,1629.0
91427,1629.0
91428,1629.0
91429,1629.0
91430,1630.0
91431,1630.0
91432,1630.0
91433,1630.0
91434,1630.0
91435,1630.0
91436,1630.0
91438,1630.0
91437,1630.0
91439,1630.0
91440,1630.0
91441,1630.0
91442,1630.0
91443,1630.0
91444,1630.0
91445,1630.0
91446,1630.0
91447,1630.0
91448,1630.0
91449,1631.0
91450,1631.0
91451,1631.0
91452,1631.0
91453,1631.0
91454,1631.0
91455,1631.0
